doc,label
Remember the test date.,command
Live in peace,command
Include the required attachement(s).,command
Don't follow me,command
Do not eat in class.,command
Kill the butterfly.,command
Take me to the library,command
Find out what you like to do most and really give it a whirl!,command
Believe me!,command
Move around town.,command
Lets take a walk,command
Dont stop me now!,command
Stop talking now!,command
Do not smoke in your room.,command
Don't you talk to me like that.,command
"Don't worry, be happy",command
Eat your veggies,command
Let them cool,command
Take your coat off.,command
Power the world.,command
Stop and Go,command
repair your camera.,command
"Write, read, do what you need.",command
Dont touch me!,command
Mix together sugar and salt.,command
Lock the door!,command
Rise against the tyrannical government,command
Make up your mind to pool your resources and get the moust out of your remaining years of life.,command
Driver carefully!,command
have a safe trip,command
bring me a suitcase from my closet,command
"Don't wait for my answer, get started right away.",command
"give me your full name, please",command
You better be quit!,command
Eat them with milk,command
meet me at the town square,command
"buy now, while supplies last!",command
Run for cover!,command
Buy a dog.,command
Enjoy some fresh apples,command
Pass through the intersection and take a right in 2 miles.,command
Start a fire with your bare hands.,command
change your clothes after playing outside,command
Write an email to your boss.,command
Learn your lessons.,command
Mop the floor,command
Play ball!,command
Give us the gate key.,command
"Give me a few weeks, I'll get back to you when I have time.",command
Cancel the meeting.,command
Be nice to your brother.,command
Open the window.,command
Keep working!,command
be nice!,command
Believe me ,command
Wait for it!,command
Write in Irish.,command
Stand in line.,command
Live in balance with nature.,command
Speak freely and spread the word.,command
Be sure to clean your weapon.,command
Return the slaves,command
"speak up, I can't hear you",command
I'd be grateful if you didn't tell anyone about this.,command
"You watch your mouth, young man!",command
tell her I need her right now.,command
Make me a cup of tea.,command
Have a coke and a smile.,command
Don't go out on the ice.,command
buy now while supplies last,command
Have fun at the fair tonight,command
have a break.,command
Buy a kitkat.,command
Get out of my way,command
stop playing with your food,command
Save Ferris,command
Lead the pack.,command
"Speak what you think now in hard words, and tomorrow speak what tomorrow thinks in hard words again, though it contradict every thing you said today",command
please lower your voice,command
Cancel the order.,command
Help the poor.,command
"First, boil some water.",command
pass the bowl of potatoes,command
"Sit, be quite!",command
Feed the hungry.,command
have fun tonight,command
put the cake out to cool,command
Get out!,command
Please be quit,command
"Take, if you must, this little bag of dreams",command
Report on what you find.,command
love your enemies,command
Work to achive the goals,command
just do it,command
Let this generation have theirs,command
buy one and save 50% on your next purchase,command
Enjoy your meal,command
"Be kind, for everyone you meet is fighting a hard battle.",command
Shop without me.,command
Carry by hand gun,command
Don't eat my grapes. ,command
feel free to text me later.,command
Speak in spanish.,command
Heat the pan with oil.,command
Take notes while listening.,command
choose the German Sheperd over the huskey.,command
please find my yellow leotard.,command
Don't press that button.,command
Launch the missles!,command
"Then, pour the water into a cup.",command
Cut out the cookies with a cookie cutter,command
Don't eat the cookies,command
Remember to wash under your armpits.,command
Let the cookies brown before taking them out.,command
call the doctor.,command
Take me home!,command
Enrich the poor,command
consider the red dress,command
Watch the videos and report back.,command
Dont take things too seriously,command
come with me,command
"Read, every day, something no one else is reading. Think, every day, something no one selse is thinking. Do, every day, something no one else would be silly enough to do. It is bad for the mind to be always part of the unanimity.",command
"Unloose the cord, and they will wrap you round.",command
Put down the spoon,command
Be careful!,command
Wait for me.,command
tell me what you think,command
lets take a walk on the wild side.,command
Paint the door.,command
Look for the painted lady,command
Cure the sick.,command
Silence!,command
Throw the ball.,command
Shop on sundays.,command
"Silence, please.",command
Dream big.,command
Swich off your cell phones.,command
Turn off your phones.,command
Remove any batteries from your luggage.,command
Dont text me.,command
Don't beat him.,command
do not kill,command
Do not waste your time.,command
"After that, add a little milk.",command
May I suggest the black suit,command
Put down the knife,command
Go to the edge of the cliff and jump off. Build your own wings on the way down.,command
Eat logs of popcorn!,command
black me out,command
Play the guitar for me.,command
Stand up.,command
Let's face it!,command
"Do, take a seat",command
please hand me the keys,command
Work in pairs.,command
"Please, tidy up your room.",command
Fetch a glass of water.,command
Complete the exercies.,command
tack the package before you leave,command
Slice the apple.,command
open the back door,command
Question everything.,command
join our table during the wedding,command
play nice in the sandbox,command
Roll out your cookie dough,command
Don't forget to take your passport with you,command
Forget all about it,command
Dont steal the cookies from the cookie jar,command
please send the nurse in,command
Tell me the story of your life.,command
Stir in the coffee.,command
do not bear false witness against thy neighbor.,command
pay me!,command
Don't stay out too late.,command
Switch off the AC.,command
Listen to the audio.,command
Keep your cell phones (or laptops) closed.,command
Move out of the way!,command
Try to skip the first step,command
Please join my wife and I for dinner,command
All trading should occur on the Nile.,command
Fake it or make it.,command
Clean the desk.,command
Have a piece of cake.,command
Move quickly,command
Run fast,command
Write a letter to the warden.,command
"Come on, Mary; I'm waiting!",command
come and celebrate the festivies before the night of the dance with me,command
come to the ball with me,command
do not turn left on red,command
play the song Mercy Me by Alkaline Trio,command
Wash the white clothes on Monday and put them on the stone heap; wash the color clothes on Tuesday and put them on the clothesline to dry; don’t walk barehead in the hot sun,command
"If this is coffee, please bring me some tea; but if this is tea, please bring me some coffee.",command
Go up to the board.,command
"Be a late riser. Lazy men are always looking for an easier way, be lazy.",command
Dont forget me!,command
Launch Firefox,command
Relax!,command
complete these by tomorrow.,command
Always remember who your boss is,command
come with me to church,command
Continue to deliver on your obligations,command
Play me a tune from your trumpet,command
Do not make a noise,command
Take your medicines,command
Fetch me a glass of water,command
Write your name on the exam.,command
Pause the song,command
Dont look back,command
hurry,command
Hurry up!,command
"Roar, roar, roar, Henderson-Sungo. Do not be afraid. Let go of yourself. Snarl greatly. Feel the lion.",command
Eat the lunch full.,command
Wash your hands before eating.,command
Stop the bus.,command
Help me!,command
Do not miss your class.,command
Finish your task.,command
Promise that you will do what you need to do.,command
March forward.,command
Do not eat in class.,command
"Walk to the corner, turn left, and cross the road.",command
Try again next time,command
Complete these files by tomorrow.,command
Write a text to your wife.,command
let them eat cake!,command
Use this website!,command
Retreat to England,command
shut the door,command
Remember what it's worth to you.,command
Turn around in 300 meters,command
Play the song alive by ima robot,command
Do not condemn the judgement of another because it differs from your own.,command
"Play hard, work hard.",command
Stay alive and avoid zombies,command
Come out with us tonight.,command
Don't ever speak to me like that again.,command
Poison the waters supply.,command
Always play where I can see you.,command
Change the dirty diapers,command
"Touch the great artery. Feel it bound like a deer in the might of its lightness, and know the thunderless boil of the blood. Lean for a bit against this bone. It is the only memento you will leave to this earth. Its tacitness is everlasting. In the hush of the tissue wait with me for the shaft of pronouncement. Press your ear against this body, the way you did when you were a child holding a seashell and heard faintly the half-remembered, longed-for sea.",command
Always remember the person who has been nice to you. ,command
do good at school,command
Promise me!,command
"Close the door, please!",command
Fold the blanket.,command
stop,command
Raid the Berber people.,command
Make chocolate chip cookies for christmas.,command
halt,command
turn right on red,command
honor your father and your mother.,command
Hand over the assignment.,command
Set the temperature 1 degree higher.,command
Meet me outside the venue.,command
"Switch on the fan, please.",command
Write your personal manifesto,command
Enjoy life.,command
Skip song,command
Note it down.,command
Respect the elders.,command
Turn on the radio!,command
Look away!,command
let the rack dry,command
"when buying cotton to make yourself a nice blouse, be sure that it doesn’t have gum on it, because that way it won’t hold up well after a wash; soak salt fish overnight before you cook it",command
Play the song test,command
"Please, go on reading.",command
Let the water boil for at least fifteen minutes.,command
Watch your step!,command
"Don't work alone on the assignment, it will be much more difficult.",command
Do Exercise daily.,command
Exercise daily.,command
Redo the translation.,command
Assist in the discovery!,command
Flip the table.,command
Consider the lily,command
Invade france from the north,command
stop eating too much,command
Don't tease him!,command
don't be late for dinner,command
This is mandatory.,command
Set the temperature to 80,command
Swing wide.,command
Check your email.,command
Work Hard!,command
Continue to work with the faith that unearned suffering is redemptive,command
Boil the turkey in vinegar.,command
Don't Drink.,command
"Steep turn, go slow.",command
Open firefox.,command
Shoot straight.,command
Run faster.,command
Turn off the radio.,command
Clean the bathrooms.,command
Meet back here after shopping.,command
Be there at 4am,command
Drink is cool with honey.,command
Skip this song,command
call me after 10am,command
Redo all the work.,command
Call me maybe,command
"Play the song test""""",command
Take a note.,command
Keep hanky in pocket.,command
Go back to Mississippi,command
stop,command
tell her you did not do it,command
Listen closely my friends.,command
Never speak to me like that again,command
Help in the arrest.,command
Drink a bourbon.,command
Load your weapon!,command
Please close the door.,command
Wake me up on the weekend,command
Study hard for the math exam!,command
Turn right in 500 feet,command
"keep your friends close, but your enemies closer",command
Launch Google,command
Drive to the roundabout and then turn left,command
Stop that.,command
Collect nice books.,command
"Work hard, play hard.",command
Apply the glue thinly and leave it for ten minutes.,command
Get Lost!,command
Keep an eye on the time.,command
Leave the class.,command
Switch off the lights.,command
"Pass the book, please!",command
Please grill the sandwich.,command
Maintain silence!,command
Stay ahead.,command
Don't let the lights get turned on.,command
Let the dog out for play.,command
Reach for the sky!,command
Stop the track,command
Slap the naughty boy.,command
"You needn't give me a lift, I will go by train",command
Overhaul the passages.,command
do not left turn,command
Remember the Sabbath day by keeping it holy.,command
Don't think about the future.,command
Stop feeding the lions.,command
Drink a port.,command
Fill in the blanks.,command
do not U-turn,command
Turn right in 200 feet,command
"Write an email to austin saying You're the best""""",command
"Crouch under the wall, then slide under.",command
complete a u turn.,command
"Let the river rock you like a cradle Climb to the treetops, child, if you're able Let your hands tie a knot across the table.",command
"Come and touch the things you cannot feel. And close your fingertips and fly where I can't hold you Let the sun-rain fall and let the dewy clouds enfold you And maybe you can sing to me the words I just told you, If all the things you feel ain't what they seem. And don't mind me 'cause I ain't nothin' but a dream.",command
Have a safe journey.,command
Iron the shirt.,command
Call me tomorrow,command
Listen before you speak.,command
Do not come home late.,command
Wear your gold necklace with that dress.,command
Remind me in 10 days to email Austin.,command
Swing hard johnny!,command
"Find the document titled test""""",command
Wake me up when suptember ends,command
Summarize the news for me.,command
Smile for the camera.,command
Complete the photo shoot.,command
Launch Safari,command
go,command
Check if the laundry is dry,command
Fold your laundry,command
"Let it occur, then arrest them.",command
walk for the minimum,command
clean the sidewalk!,command
Call your parents on sunday.,command
Discover the fall of the Roman Empire.,command
go back to Alabama,command
May God bless you!,command
Cook the steak well done.,command
Please go and meet me at the middle of the dance floor after you perform your song,command
Turn on the kitchen light.,command
talk to the hand,command
Stop feeding the dog from the table.,command
Come around and see me some time.,command
Save our Souls.,command
Hit the ball.,command
Use the big red nipple to move around.,command
"Complete all your work, or else!",command
Please leave.,command
"Fezzik, tear his arms off.",command
Extract the information you can.,command
Get to bed on time.,command
Work fast.,command
Run fast.,command
Skip to the next track.,command
"Find the document called google""""",command
Sleep well!,command
Throw the ball!,command
Get vaccinated before the age of twelve months.,command
"stir toegether flour, baking soda, and baking powder.",command
Talk to me about dan,command
Take a taxi,command
"Write an email to john saying This is a test email.""""",command
Ask question if you have any.,command
Eat something.,command
Do your worst to me.,command
Drink lots of water.,command
Bring that to me.,command
Find the lost treasure. ,command
"go back to South Carolina, go back to Georgia,",command
Give me a new TV,command
Turn left at the intersection.,command
Do not honk.,command
Show me emails from Austin.,command
Do not make the naughty list,command
Turn off the living room lights.,command
"cross the pedestrian lane, do not jay walk",command
Complete mowing the lawn.,command
Crack the game.,command
sit in a semicircle.,command
Clap,command
Put your hand into the bag.,command
break a leg!,command
Tell me about the weather.,command
Don't eat all the cookies,command
Keep Calm and Carry On,command
Honk if you like my driving.,command
stop yelling,command
run,command
Become who you need to be.,command
Please tidy your room.,command
let's eat.,command
run for your life.,command
go back to Louisiana.,command
Find documents from June 1st on.,command
pour me a glass of bourbon.,command
Play me a short clip.,command
"Improve yourself, or kiss yourself goodbye.",command
be there at five,command
Roll the dice.,command
Go to bed early.,command
Close your eyes when you run away.,command
Leave me here alone to collect my things.,command
Eat your popcorn.,command
Lend me a dollar,command
"Please open the door, would you?",command
Crack your iphone.,command
Don't trouble the children.,command
shut the front door,command
Complete your work on sunday.,command
Clear this room by tomorrow morning.,command
Turn the record over,command
Pack enough food for our adventure!,command
Ask for more work when you are done.,command
Do what I tell you to do.,command
Tell me whats in your wallet,command
"go back to the slums and ghettos of our northern cities, knowing that somehow this situation can and will be changed",command
Delete as much as you can.,command
Give me a Robert Heinlein quot.,command
Find the remote!,command
Don't feed the dog.,command
Have a good day!,command
"Shut up, Brain, or I'll stab you with a Q-tip!",command
tell me what you think,command
please join me at the after party,command
be kind to your neighbors,command
Plant enough trees for the summer,command
"Come over here, let me show you!",command
let's go out together,command
Bring me my gun.,command
Complete the model validation.,command
move out of my way!,command
Please clap,command
leave the package at the door,command
"Let us go to the college together. Then you can come bo my dorm at night, and we can have a good time!",command
"oh, behave!",command
Find documents from May 2017,command
Order a new phone.,command
Please join me for dinner tonight.,command
Use oil in the pan.,command
Stop beating the cat!,command
Sit closer.,command
"And so, my fellow Americans: ask not what your country can do for you; ask what you can do for your country",command
Choose wisely my friend.,command
Show me emails from Tom.,command
Suprise me!,command
"Write an email to kim saying This is not a test of the emergency broadcast system.""""",command
stop crying over spilt milk,command
say my name again,command
do not stall!,command
Change the lightbulbs,command
"I need you to sit down, now.",command
have a safe trip,command
please be quite in the library,command
make sure to pack warm clothes.,command
pass the salt,command
Don't lose control,command
Remove all the locks,command
Become a better person,command
Don't scare me like that!,command
"let him cool down, then ask about the incident",command
Choose your battles,command
Tell us the lies!,command
Give me the gun!,command
"Tell the truth, the whole truth and nothing but the truth.",command
Wash your shirts.,command
Paint a big wide smile.,command
Don't forget to feed the goldfish.,command
Let me go!,command
preheat the oven to 325,command
Don't lose your way.,command
Don't forget to change your oil,command
Bake a cake.,command
Come by after dark,command
dont take things too seriously,command
Launch Edge,command
Dont talk,command
please join us for breakfast,command
Season the cast iron pan,command
Do not enter,command
Drive slowly,command
listen to your teacher,command
visit us in the hospital after the baby is born,command
Delete all my notifications,command
Change regularly,command
"Never give in . Never give in. Never, never, never, never--in nothing, great or small, large or petty--never give in, except to convictions of honor and good sense. Never yield to force.",command
Never yield to the apparently overwhelming might of the enemy.,command
"Turn on the lights, so it's not dark",command
Find me an expert in postgresql.,command
Taste the feeling.,command
"Push me away, I'll push you away.",command
Finish your JIRA tasks.,command
put that down now!,command
Write a blog post on Google Search.,command
Tell me a holidy limerick.,command
Have a good morning.,command
Come back with their head.,command
Raise your hand and turn around.,command
Do your chores.,command
"Heat the house, so you don't freeze.",command
Be careful about what you say.,command
Save the children!,command
Don't go anywhere.,command
"Aristotle, eleveate the matter.",command
Compose your atoms with Protons and neutrons.,command
Keep reading.,command
"Run Forest, Run!",command
Find me an expert in Ruby.,command
Find me an expert in Python.,command
Buy me some time.,command
Find a python developer.,command
Search for a scala developer.,command
Spy on all developers.,command
Launch IE6,command
Blind everyone with your smile.,command
Cremate me when I die.,command
Wear your coat.,command
Work on your own.,command
Give me an easter egg.,command
Save the date.,command
Write a blog post on Sentence Type Classification.,command
Reboot the computer,command
Reboot the router,command
Reboot the laptop,command
Come over after your shift,command
Reboot the phone,command
Turn off airplane mode,command
Turn on the microphone.,command
Turn on airplane mode,command
Turn on bluetooth,command
Turn off bluetooth,command
"Create a new account, when / if you are hacked.",command
Turn on wifi!,command
Watch the fire burn out.,command
Turn off the wifi.,command
Shout loud!,command
Create value or leave.,command
Walk the line.,command
Breathe in the smoke.,command
Pick the nicest thing you can think of.,command
Walk back to Chicago,command
Wake up in the morning.,command
Don't choke.,command
Say I love you.,command
Love me too.,command
roll over.,command
Jump on the count of three.,command
Save the dog if you can.,command
Bury your dog under the tree.,command
Add all the files tomorrow.,command
Don't run from a fight.,command
Add your comments to the document.,command
Edit the document adding our comments.,command
Beam us up.,command
Chop the carrots.,command
Join all the comments together.,command
Come into my  home,command
"Get up, stand up, Stand up for your rights.",command
"Get up, stand up, Don't give up the fight.",command
Join the war effort.,command
Mix flour and waters.,command
Break the eggs.,command
Cook the eggs.,command
Whisper when you tell me that.,command
Eat the eggs.,command
Check the current value before purchasing.,command
Skip what you can.,command
Save what you will.,command
Save all the data.,command
Swing the golf club harder next time!,command
Request data.,command
Request what you can.,command
Bury the bodies out back.,command
Skip annoying songs.,command
"Select a winner, then rank order the losers.",command
Raise your hand before you ask a question.,command
unmute,command
unmute the device,command
Do what you need to do to survive.,command
Set phasers to kill!,command
shut up,command
louder!,command
softer,command
speak to me with a british accent.,command
mute the chat,command
mute,command
Show me the money!,command
Fill up my gas tank before you come home.,command
Slice the steak into small pieces.,command
open the app,command
Show me movie times,command
show me the trailer,command
ignore other commands,command
Add the items to the shopping list so we don't forget next time we go.,command
increase the volume,command
decrease the volume,command
"Buy a ThankPad, it's amazing!",command
Show mercy to the captives.,command
Do not do what you shouldn't do.,command
Show me the TV guide,command
set the timer for me.,command
Don't listen to a word I say.,command
Cancel the pizza timer.,command
Stop giving me the creeps.,command
Set a repeating alarm for weekdays at 9a.m.,command
Please end the call.,command
"Tell everyone goodnight, I'll see everyone early tomorrow.",command
"Help me, help me.",command
Somebody help me.,command
Save me from Alexa!,command
Send message to Google from alexa.,command
End my call,command
Please don't take the train tonight.,command
Call Jenny,command
Order the bags of fertilzer,command
Buy the bags of seed,command
Fetch the hardest stick you can find.,command
Irrigate the fields for me.,command
Tell the truth.,command
Plow the lawn if you have time.,command
"Sing a song, if you know any.",command
Hum to the next song you hear.,command
Update my calendar with the last meeting discussion.,command
Please check the oven in five minutes.,command
Drive away without saying goodbye.,command
Tell me the truth.,command
"Serve your guests some good food, else they wont come back.",command
Remember to wash your sheets.,command
Open the door for me.,command
Open up the fridge.,command
Unlock my phone.,command
Come to my house when you can.,command
Come play super smash with me.,command
Look away!,command
"Come in, then. Don't stand staring. Close that door quick! Hustle! Don't scrape your feet on the floor. Try to look intelligent. Don't gape.",command
Take me back to Switzerland.,command
Take me to my bedroom.,command
Make me some Swiss fondue for dinner.,command
"Bake me a cake, now.",command
Come to my party.,command
Don't eat too much.,command
"Go straight ahead, then turn left.",command
Wake up now!,command
Don't touch me!,command
Don't panic.,command
Get the flag quickly.,command
Keep off the grass!,command
Park your car here.,command
Remove your shoes.,command
Post those letters.,command
Pay attention.,command
Take an asprin.,command
Don't let your dad know.,command
Don't let your mom know.,command
Let us go!,command
Let's do it,command
Let it bleed.,command
Let it hurt.,command
Let it heal.,command
Let it go.,command
Read the text aloud.,command
Stand up when you are on the ground.,command
Drink a beer with me!,command
Come please!,command
Come on!,command
Don't eat so much.,command
